id,x,y,deg
001_0,s-36.33711418974510820590,s17.72351012531543901218,s45.00000000000000000000
002_0,s-4.771116268038815,s0.928559901613278,s23.62937773055205
002_1,s-4.462922128796255,s1.451478416224009,s203.62937773055205
003_0,s0.66669627574432099859,s1.19913835285359904326,s155.13405193710082130565
003_1,s1.25903733135740703020,s1.29467928690397693359,s66.37062226934300213088
003_2,s1.14341008661150800307,s0.79978155127719896544,s111.12513229289299943048
004_0,s0.33004850071243202470,s0.21329287959080101000,s336.37062099578372453834
004_1,s0.32065508398193898199,s1.07751284305090710980,s156.37062099578369611663
004_2,s0.96075722191506596204,s1.07751284211045894601,s156.37062003145260291603
004_3,s0.97015062642851401797,s0.21329288003203500379,s336.37062003145376820612
005_0,s1.21106211053701895430,s0.39155977731617197524,s112.57354076900067241240
005_1,s0.81488080779453597735,s0.60863680866872504893,s66.35880454137895867461
005_2,s1.07467288843526209696,s1.24354615256009704005,s203.61755707631550649239
005_3,s0.28982384095328600493,s1.19141155223755590420,s293.62937773062918722644
005_4,s0.30149236835465098583,s0.28166700156800000832,s23.62937773245634431873
006_0,s0.59241072084272095033,s0.64686048196559398082,s338.87232533537547851665
006_1,s0.19944218745773201196,s1.12632913084573904605,s293.62937716021184542114
006_2,s0.30680438066092502458,s0.27775283820032498072,s23.62937794809916880467
006_3,s1.20811499937231503488,s1.23339473473335603515,s158.87232585779764804101
006_4,s1.20811570917516997170,s0.34414538133312200241,s338.87200690712933237592
006_5,s0.66642804505841302110,s0.21920072659196498943,s246.37062228144358755344
007_0,s0.69969465876499004064,s0.31200832868624500671,s213.52155619517100149096
007_1,s1.44842926666195004337,s0.98255866045837803036,s65.19608149783390160792
007_2,s0.36165830135269605439,s0.36709377534969001022,s27.81703163911270237918
007_3,s0.20156837014879397385,s-0.02055278290107900169,s252.81880373170298526020
007_4,s0.45728980721898798700,s1.10628363843805899158,s207.81703359903599448444
007_5,s1.34078816384234977832,s-0.11604567434531400105,s336.37062443164700198395
007_6,s1.23045284538882992997,s0.42461687810847897895,s37.46132612799070216170
008_0,s1.08476206625588900145,s1.43334687524295190109,s113.62990977668192726924
008_1,s1.54285497996115772423,s0.32072892439803962761,s113.62937700631920279193
008_2,s0.67162499846758649813,s0.32280144697222151740,s293.62929032750457736256
008_3,s0.21348766017988166088,s1.43536891170398961393,s293.62960981222772716137
008_4,s1.43548193154229708490,s1.50491590135849495624,s203.62890364130919351737
008_5,s0.62861824389439802108,s0.76695725346190801730,s51.76216212345377698512
008_6,s0.32086940465767699315,s0.25120569324429598002,s23.63089564447568591277
008_7,s1.12772706448594806083,s0.98916573029071397372,s231.76617892401372955646
009_0,s0.33032155055298600965,s1.09421463036443000760,s204.79369319273399696613
009_1,s1.28318173966599990976,s0.32086923882124812613,s113.62937774756099429396
009_2,s0.67385279315451296345,s1.31141318850897992121,s249.88495900370500635290
009_3,s1.07923212758822928414,s1.54683960184547064642,s293.62937781917401025567
009_4,s1.55920870851482007424,s1.13454273692604989954,s336.37062445149700806724
009_5,s0.99431322671094801713,s0.85088537647995599045,s154.94476106800999559709
009_6,s0.34529357873512300792,s0.21328952495731801076,s24.57302039040730079478
009_7,s1.53507839443496996168,s0.72210305636078497837,s205.52987714897699333960
009_8,s0.22491501264076499411,s1.50671663244228004608,s296.80593183456801398279
010_0,s0.16669869499987768902,s0.20487625255915734024,s23.62936288631613024336
010_1,s1.00371265812455501276,s1.58783705232272698282,s290.15057273923724778797
010_2,s1.04821600495873523684,s0.66095772938714225653,s292.60828386818729995866
010_3,s1.46470252419941338040,s1.16161793458272510904,s336.26254450408583807075
010_4,s0.64998662166028231546,s1.25940605890001067202,s246.34587551668832361429
010_5,s0.96929546662673249369,s0.32086948587818114875,s115.55897153792251685900
010_6,s0.61322076506006517604,s0.65686891036892103291,s70.42162223755528316360
010_7,s0.57883050218893838945,s1.59544129123319144981,s66.34580883416495566962
010_8,s0.20130990030319664830,s1.10360757092868366769,s21.40070190115739734438
010_9,s1.46085693579317510427,s0.18929484277892863475,s338.60594277313515476635
011_0,s0.95766376313098700024,s1.36963891464635389994,s66.37150675936572952196
011_1,s0.40344270957195405014,s-0.12734760404242931320,s23.70982374712315277065
011_2,s1.38165229414899548566,s1.36495434154327677234,s293.99169720693191720784
011_3,s0.46793798693583088522,s0.98968395370860351434,s28.86422554186077604754
011_4,s1.77354095910141418280,s0.88544368476440948879,s339.08818884913648616930
011_5,s1.03453339478708805643,s0.53682204452132820105,s159.17888539763362132362
