id,x,y,deg
001_0,s-36.337114189745108206,s17.723510125315439012,s45.000000000000000000
002_0,s-4.771116268038815278,s0.928559901613277949,s23.629377730552050707
002_1,s-4.462922128796255272,s1.451478416224009083,s203.629377730552050707
003_0,s0.666696275744320999,s1.199138352853599043,s155.134051937100821306
003_1,s1.259037331357407030,s1.294679286903976934,s66.370622269343002131
003_2,s1.143410086611508003,s0.799781551277198965,s111.125132292892999430
004_0,s0.330048500712432025,s0.213292879590801010,s336.370620995783724538
004_1,s0.320655083981938982,s1.077512843050907110,s156.370620995783696117
004_2,s0.960757221915065962,s1.077512842110458946,s156.370620031452602916
004_3,s0.970150626428514018,s0.213292880032035004,s336.370620031453768206
005_0,s1.211062110537018954,s0.391559777316171975,s112.573540769000672412
005_1,s0.814880807794535977,s0.608636808668725049,s66.358804541378958675
005_2,s1.074672888435262097,s1.243546152560097040,s203.617557076315506492
005_3,s0.289823840953286005,s1.191411552237555904,s293.629377730629187226
005_4,s0.301492368354650986,s0.281667001568000008,s23.629377732456344319
006_0,s0.592410720842720950,s0.646860481965593981,s338.872325335375478517
006_1,s0.199442187457732012,s1.126329130845739046,s293.629377160211845421
006_2,s0.306804380660925025,s0.277752838200324981,s23.629377948099168805
006_3,s1.208114999372315035,s1.233394734733356035,s158.872325857797648041
006_4,s1.208115709175169972,s0.344145381333122002,s338.872006907129332376
006_5,s0.666428045058413021,s0.219200726591964989,s246.370622281443587553
007_0,s0.699694658764990041,s0.312008328686245007,s213.521556195171001491
007_1,s1.448429266661950043,s0.982558660458378030,s65.196081497833901608
007_2,s0.361658301352696054,s0.367093775349690010,s27.817031639112702379
007_3,s0.201568370148793974,s-0.020552782901079002,s252.818803731702985260
007_4,s0.457289807218987987,s1.106283638438058992,s207.817033599035994484
007_5,s1.340788163842349778,s-0.116045674345314001,s336.370624431647001984
007_6,s1.230452845388829930,s0.424616878108478979,s37.461326127990702162
008_0,s1.084762066255889001,s1.433346875242951901,s113.629909776681927269
008_1,s1.542854979961157724,s0.320728924398039628,s113.629377006319202792
008_2,s0.671624998467586498,s0.322801446972221517,s293.629290327504577363
008_3,s0.213487660179881661,s1.435368911703989614,s293.629609812227727161
008_4,s1.435481931542297085,s1.504915901358494956,s203.628903641309193517
008_5,s0.628618243894398021,s0.766957253461908017,s51.762162123453776985
008_6,s0.320869404657676993,s0.251205693244295980,s23.630895644475685913
008_7,s1.127727064485948061,s0.989165730290713974,s231.766178924013729556
009_0,s0.330321550552986010,s1.094214630364430008,s204.793693192733996966
009_1,s1.283181739665999910,s0.320869238821248126,s113.629377747560994294
009_2,s0.673852793154512963,s1.311413188508979921,s249.884959003705006353
009_3,s1.079232127588229284,s1.546839601845470646,s293.629377819174010256
009_4,s1.559208708514820074,s1.134542736926049900,s336.370624451497008067
009_5,s0.994313226710948017,s0.850885376479955990,s154.944761068009995597
009_6,s0.345293578735123008,s0.213289524957318011,s24.573020390407300795
009_7,s1.535078394434969962,s0.722103056360784978,s205.529877148976993340
009_8,s0.224915012640764994,s1.506716632442280046,s296.805931834568013983
010_0,s0.166698694999877689,s0.204876252559157340,s23.629362886316130243
010_1,s1.003712658124555013,s1.587837052322726983,s290.150572739237247788
010_2,s1.048216004958735237,s0.660957729387142257,s292.608283868187299959
010_3,s1.464702524199413380,s1.161617934582725109,s336.262544504085838071
010_4,s0.649986621660282315,s1.259406058900010672,s246.345875516688323614
010_5,s0.969295466626732494,s0.320869485878181149,s115.558971537922516859
010_6,s0.613220765060065176,s0.656868910368921033,s70.421622237555283164
010_7,s0.578830502188938389,s1.595441291233191450,s66.345808834164955670
010_8,s0.201309900303196648,s1.103607570928683668,s21.400701901157397344
010_9,s1.460856935793175104,s0.189294842778928635,s338.605942773135154766
011_0,s0.957663763130987000,s1.369638914646353900,s66.371506759365729522
011_1,s0.403442709571954050,s-0.127347604042429313,s23.709823747123152771
011_2,s1.381652294148995486,s1.364954341543276772,s293.991697206931917208
011_3,s0.467937986935830885,s0.989683953708603514,s28.864225541860776048
011_4,s1.773540959101414183,s0.885443684764409489,s339.088188849136486169
011_5,s1.034533394787088056,s0.536822044521328201,s159.178885397633621324
011_6,s1.364279098783810484,s0.024471578222430745,s117.153326772134221301
011_7,s1.421004264886737145,s0.360142254491685687,s300.164518443796623615
011_8,s0.892022265092051958,s0.952737943839603973,s264.164542909594274533
011_9,s1.780132013617006681,s-0.127207520212611724,s341.806255444271528177
011_10,s0.420513676920055979,s0.728402816294965949,s203.711477475963988581
012_0,s0.715548562762164497,s0.775218615223702612,s296.937179781599979833
012_1,s1.785267397482382501,s1.287139231432227415,s340.345733984394996696
012_2,s1.084493441403398428,s0.314391937486086015,s296.074916439479977726
012_3,s1.395999861738904890,s1.763852410566601803,s296.025955798117990980
012_4,s1.794221194699306077,s0.213292884142470912,s336.370625039887954699
012_5,s0.943221881388518035,s1.901367686052817696,s161.123007544222730303
012_6,s0.334491617668308039,s0.726715703135085156,s155.284393946376013673
012_7,s1.721754044321478716,s0.960694101781283782,s114.487182891361996440
012_8,s0.312095775691359489,s1.030809476878904452,s333.087931193555050413
012_9,s0.362098033770174521,s1.902589138854107631,s153.087931627886007391
012_10,s0.838917278575267100,s0.361215946876770888,s116.074837989757000400
012_11,s1.336026290407733574,s1.428198776361219391,s116.938359924517001787
013_0,s0.353971241887493016,s1.414904623808300066,s154.345859296278263173
013_1,s0.693273802650723026,s1.491214295041080051,s336.927753265925730375
013_2,s0.220915483393311990,s0.438216840001099006,s293.629648348525847723
013_3,s1.080661518954215916,s0.686401519728452980,s295.749072871783937444
013_4,s0.221211060623814987,s1.900719628607536960,s291.112790878630448788
013_5,s1.994616038586392914,s1.862459913992031924,s114.664779405526545020
013_6,s1.007603346667631961,s0.347837694799061015,s113.629649782036580064
013_7,s1.440812845233748085,s0.347834311330256996,s246.370661348381901234
013_8,s0.886460268312086019,s1.066390380542254990,s109.192460241597729009
013_9,s1.994169674036762929,s1.300130822700126920,s108.779817192517128888
013_10,s1.037509467407252917,s1.277234075517301948,s286.140742795145001764
013_11,s1.878641546746000035,s0.802553621326792976,s199.936159797368162572
013_12,s1.164660638666848103,s1.893378420910069915,s294.664778382550935021
014_0,s0.317482329231631555,s2.026754068665261865,s156.370641928913130414
014_1,s1.983891695746596850,s1.499460128528508074,s336.370564180639462393
014_2,s1.000534318757877017,s0.266178257129718987,s61.126057780862595337
014_3,s1.547009662082064141,s1.167864848413824319,s157.352483273676710951
014_4,s0.934106771714034445,s1.250941967945159661,s202.300979134356424538
014_5,s1.095037551514880025,s1.622205235648307209,s256.085164563315174746
014_6,s1.343244029603317014,s0.162852213741144974,s331.127384649785881265
014_7,s0.404101543935856677,s0.940213494267702843,s241.126391325468659943
014_8,s1.507999204737722865,s1.918450828591542923,s293.242048926577240309
014_9,s0.626194167595479967,s1.521899554587802017,s128.121098041711434234
014_10,s0.317482264102796008,s0.145619157536828997,s23.629376493320965125
014_11,s0.684759010826099024,s1.826999164763259076,s301.085038398549329486
014_12,s1.979329838961255250,s1.073667393092335054,s201.690422821852109792
014_13,s1.970147801687634592,s0.145559114245729482,s17.170848221060587946
015_0,s2.000056348280425667,s2.329393722152376611,s203.600052226317188797
015_1,s0.768887502845486348,s2.221871075106795157,s293.570213561324408147
015_2,s1.467688176573799019,s1.524932110916259909,s106.490152871144857727
015_3,s0.985046815599735948,s1.053558029785097050,s200.182874447534800311
015_4,s0.263976557317141980,s1.476724637968527043,s23.645393823055428584
015_5,s0.654886074081823977,s0.548823237274420950,s241.332431228737277706
015_6,s1.439792399186309080,s0.974754726989496945,s291.417925868632323727
015_7,s0.285215271274974980,s2.329388806505623855,s203.645052740398227797
015_8,s1.299226707877906950,s1.915191389669439026,s321.663049848534683406
015_9,s0.275023319587018977,s0.378488954958828006,s18.503337155254712343
015_10,s1.496473035456334033,s0.486799944666662987,s246.301688364911910867
015_11,s0.600439475377767984,s0.880385298754714052,s55.248741766408784315
015_12,s1.970087257661176983,s1.484450069787099036,s23.598733010905448282
015_13,s2.000092348340621218,s0.663392697532560027,s336.370857599062219379
015_14,s0.970941669053524969,s1.859014737013670038,s145.971693900067407412
016_0,s1.134577716836579375,s2.255815930732212315,s66.733307280448457277
016_1,s2.255301938439076004,s1.157965465158024898,s68.071784276920482171
016_2,s0.235313418926605011,s1.124930011994661028,s248.070636726888665180
016_3,s0.235252173492239258,s0.511022782696258782,s246.883319586826019076
016_4,s1.145549519966813978,s1.063022270695094917,s68.068665809261915456
016_5,s0.235156083122090964,s2.314431124903799653,s246.794569296772351663
016_6,s1.113054474360422930,s0.511108682322337970,s66.953077257480742901
016_7,s1.102232023951631890,s1.698167086258445035,s67.897334532663762729
016_8,s2.254142328938153472,s2.312712356867304475,s66.759259869504830931
016_9,s2.255488660977833959,s0.512669280559558960,s66.821006097925078393
016_10,s2.255357701601560905,s1.699098503502068036,s68.078483149163730559
016_11,s1.377584199745658822,s2.314624263486562139,s246.735694660898161601
016_12,s1.344436112906081116,s1.762420671294454122,s248.069233292898843501
016_13,s1.356271165688828439,s0.570645634312577643,s246.827224008911343844
016_14,s0.235301183777182260,s1.668987010293075723,s247.897122648767435749
016_15,s1.387108761652398936,s1.127472671014358108,s248.069922349924468108
017_0,s1.457324760177759027,s0.378937757699096323,s235.507697456606138076
017_1,s1.211644923338769830,s2.228236889469501492,s174.986969673782255086
017_2,s0.370844257337400063,s1.612863854417857956,s24.340373843298145573
017_3,s1.167379012104889480,s1.163483022470224615,s174.818019258072212097
017_4,s2.190158572082424815,s1.701099798428186149,s336.370610188401883534
017_5,s2.016422977289618945,s1.273510224716765782,s30.838756937079022435
017_6,s2.303501125496191904,s0.231985019671260034,s55.507702703167289826
017_7,s0.760257881763169552,s1.310834211921766634,s343.987504158520550845
017_8,s0.323344685390946296,s0.139194360651545945,s23.629385669511513868
017_9,s2.187851087211917900,s0.770647599813647832,s336.262368807243205993
017_10,s0.788162605919007997,s0.559133082591586228,s69.598670817653996323
017_11,s0.216289108812528219,s1.171717461916904846,s249.305639791427068985
017_12,s1.715158237866118984,s2.108883172563836617,s291.724058937725999385
017_13,s1.147708678611977229,s0.246556621539920001,s113.629277630952628897
017_14,s1.783334880082283913,s1.012565419907774267,s129.592510698078456244
017_15,s0.735615401295134697,s2.113370502920967731,s66.370623894933686415
017_16,s1.420696332689776353,s1.342251585885513521,s354.986952016087968786
018_0,s1.173735943318042985,s0.720203155812439988,s304.928283722790297361
018_1,s1.695005558945100077,s2.051882554890492205,s118.614907041518421238
018_2,s0.706334125531901003,s0.667114115326436052,s218.118925092329334348
018_3,s1.341375790017228953,s0.358384492930621024,s246.370799854708110388
018_4,s0.845652686445864998,s1.180867859558210053,s77.793739138605516814
018_5,s1.822740867967308942,s2.289574506501907969,s291.978891168999382444
018_6,s0.418673606109756014,s0.728263102136561979,s32.554555071650248976
018_7,s1.954000191315321100,s1.508016048706880996,s78.766054149104803628
018_8,s2.352607205033617976,s1.260527565148716000,s117.590970737750765807
018_9,s1.031934990312133094,s2.161758795686410828,s304.435166298902345261
018_10,s1.734920735199442010,s0.587268419304466049,s293.293623991947640661
018_11,s2.224503835669506824,s1.784096221225973000,s338.370073785609406514
018_12,s1.086508165665670989,s1.342462275518861992,s258.766125468318477942
018_13,s0.916112881637539012,s1.796884417681680945,s120.867416692169271641
018_14,s2.243944164991570123,s0.251021465560078982,s336.370626818903986077
018_15,s0.201482903207334002,s0.358383368656987000,s246.370622247780289626
018_16,s0.721115883585308981,s2.293482444235769080,s66.370621228525607194
018_17,s0.315423107030990024,s1.820819550706056056,s20.783442729461793164
019_0,s0.708469073311881470,s0.869444164297116684,s51.877315618744368919
019_1,s2.512130536508927481,s2.474952294672290609,s67.165777958318699348
019_2,s1.635940645328874732,s2.447178588546777167,s208.427112137606059150
019_3,s0.292037640784257702,s2.458072427544858662,s295.107226066948214793
019_4,s2.066871980007133125,s0.945662684790930075,s67.947711611497794593
019_5,s2.404906239210943486,s1.296742785347048121,s336.370586943106047784
019_6,s1.897873223910517826,s0.490076389530729517,s244.929449864186494779
019_7,s1.253377658198206790,s2.560675116198940948,s154.768011536342356749
