id,x,y,deg
001_0,s0.159099025766977320,s-0.159099025766973767,s45.000000000000000000
002_0,s-0.154097069621279559,s-0.261459257305365567,s23.629377730552050707
002_1,s0.154097069621280447,s0.261459257305365567,s203.629377730552050707
003_0,s-0.234618301141838570,s0.154819632737016599,s155.134051937100821306
003_1,s0.357722754471247462,s0.250360566787394490,s66.370622269343002131
003_2,s0.242095509725348434,s-0.244537168839383479,s111.125132292892999430
004_0,s-25.911617999341377327,s-44.171820033368781822,s-90.000000000000000000
004_1,s-25.111617999340378304,s-43.821820033368780400,s90.000000000000000000
004_2,s-15.427875070442588878,s-38.883106920616953062,s-60.000000000000000000
004_3,s25.761617999341375196,s44.321820033368780400,s180.000000000000000000
005_0,s1.607782544273478775,s1.871841500864089625,s-90.000000000000000000
005_1,s2.407782544274478909,s2.221841500864089713,s90.000000000000000000
005_2,s2.590564490150015331,s1.556682193238638989,s90.000000000000000000
005_3,s-34.172175378338565110,s35.302694857131037054,s135.000000000000000000
005_4,s34.434751911963246584,s-34.857361907518772171,s150.000000000000000000
006_0,s-13.053556617824943586,s2.207866205080278199,s-90.000000000000000000
006_1,s-12.253556617823944563,s2.557866205080277844,s90.000000000000000000
006_2,s-12.081590264145747327,s1.953491628588655882,s338.872006907129332376
006_3,s-50.032350969972299026,s46.775884645205110246,s135.000000000000000000
006_4,s63.074370330126512840,s-30.553008905855616462,s-90.000000000000000000
006_5,s-63.074370330126512840,s-46.673372018620398194,s90.000000000000000000
007_0,s3.239743794472313532,s45.003536359895861096,s-90.000000000000000000
007_1,s4.039743794473313443,s45.353536359895862518,s90.000000000000000000
007_2,s4.342193264206455794,s44.542450546138894651,s336.370624431647001984
007_3,s-36.158517560484540354,s-21.061328014022222987,s120.000000000000000000
007_4,s-66.327754786086700278,s14.875599216106564882,s150.000000000000000000
007_5,s25.443309981095577399,s-10.662506529893981622,s0.000000000000000000
007_6,s66.034934463059158816,s-45.400427468571308509,s-60.000000000000000000
008_0,s-18.185940458861555413,s-7.213712456073852586,s-90.000000000000000000
008_1,s-17.385940458860552837,s-6.863712456073852053,s90.000000000000000000
008_2,s-18.185940458861555413,s-6.513738157595679645,s-90.000000000000000000
008_3,s-17.385940458860552837,s-6.163738157595679112,s90.000000000000000000
008_4,s-16.927592808534313917,s-7.120630889516307072,s120.000000000000000000
008_5,s-59.894399455820718003,s46.533586839853519734,s120.000000000000000000
008_6,s47.411828995684103916,s-46.486695731178073743,s-90.000000000000000000
008_7,s60.284110887523709721,s17.313105591801168259,s150.000000000000000000
009_0,s-16.625027174908289851,s-3.734910458323233762,s-90.000000000000000000
009_1,s-15.825027174907290828,s-3.384910458323233673,s90.000000000000000000
009_2,s-16.625027174908289851,s-3.034936159845060821,s-90.000000000000000000
009_3,s-15.825027174907290828,s-2.684936159845060732,s90.000000000000000000
009_4,s-15.328401789218936813,s-2.950569042025514399,s336.370624451497008067
009_5,s-15.352532103298786481,s-3.363008722590778987,s205.529877148976993340
009_6,s5.039948769428992392,s-77.016216725798756215,s135.000000000000000000
009_7,s-44.975939280060899250,s76.781902150748010172,s0.000000000000000000
009_8,s45.125939280060890724,s-2.189300744206995830,s90.000000000000000000
010_0,s-33.008748794732710508,s-4.137631570394713520,s-90.000000000000000000
010_1,s-32.208748794731711484,s-3.787631570394713876,s90.000000000000000000
010_2,s-33.008748794732710508,s-3.437657271916540580,s-90.000000000000000000
010_3,s-32.208748794731711484,s-3.087657271916540935,s90.000000000000000000
010_4,s-31.643935477678105883,s-4.274041472460971214,s338.605942773135154766
010_5,s-31.922744036270422896,s-3.487003758465027747,s-45.000000000000000000
010_6,s65.742350825560436078,s8.136411422228135848,s-90.000000000000000000
010_7,s-65.253135087574918316,s-79.709280072761572455,s-90.000000000000000000
010_8,s-66.239241934235877807,s79.366459749734019624,s-30.000000000000000000
010_9,s30.514833173444962711,s-74.488545115910454797,s180.000000000000000000
011_0,s7.376907218210993378,s12.491556272519524384,s-90.000000000000000000
