id,x,y,deg
001_0,s0.159099025766977320,s-0.159099025766973767,s45.000000000000000000
002_0,s-0.154097069621279559,s-0.261459257305365567,s23.629377730552050707
002_1,s0.154097069621280447,s0.261459257305365567,s203.629377730552050707
003_0,s-0.234618301141838570,s0.154819632737016599,s155.134051937100821306
003_1,s0.357722754471247462,s0.250360566787394490,s66.370622269343002131
003_2,s0.242095509725348434,s-0.244537168839383479,s111.125132292892999430
004_0,s-0.315354360660633770,s-0.432109981730053105,s336.370620995783724538
004_1,s-0.324747777391126813,s0.432109981730052994,s156.370620995783696117
004_2,s0.315354360542000167,s0.432109980789604831,s156.370620031452602916
004_3,s0.324747765055448223,s-0.432109981288819112,s336.370620031453768206
005_0,s0.508378560712709482,s-0.398660593428744825,s112.573540769000672412
005_1,s0.112197257970226505,s-0.181583562076191751,s66.358804541378958675
005_2,s0.371989338610952625,s0.453325781815180240,s203.617557076315506492
005_3,s-0.412859708871023467,s0.401191181492639104,s293.629377730629187226
005_4,s-0.401191181469658487,s-0.508553369176916847,s23.629377732456344319
006_0,s-0.167957857020050727,s-0.025904447436801092,s338.872325335375478517
006_1,s-0.560926390405039665,s0.453564201443343973,s293.629377160211845421
006_2,s-0.453564197201846653,s-0.395012091202070093,s23.629377948099168805
006_3,s0.447746421509543358,s0.560629805330960962,s158.872325857797648041
006_4,s0.447747131312398294,s-0.328619548069273071,s338.872006907129332376
006_5,s-0.093940532804358656,s-0.453564202810430084,s246.370622281443587553
007_0,s-0.125196282623244559,s-0.169609999251724319,s213.521556195171001491
007_1,s0.623538325273715444,s0.500940332520408704,s65.196081497833901608
007_2,s-0.463232640035538545,s-0.114524552588279316,s27.817031639112702379
007_3,s-0.623322571239440570,s-0.502171110839048307,s252.818803731702985260
007_4,s-0.367601134169246613,s0.624665310500089666,s207.817033599035994484
007_5,s0.515897222454115179,s-0.597664002283283313,s336.370624431647001984
007_6,s0.405561904000595330,s-0.057001449829490347,s37.461326127990702162
008_0,s-18.185940506545726691,s-7.013738682117053536,s-90.000000000000000000
008_1,s-16.885940506544727668,s-7.138738682117053536,s90.000000000000000000
008_2,s-18.222647673402754265,s-6.128404549017709257,s293.629609812227727161
008_3,s-17.000653402040338591,s-6.058857559363203471,s203.628903641309193517
008_4,s-17.657059123510240539,s-6.553376434965297648,s-30.000000000000000000
008_5,s-59.894399455820718003,s46.533586839853519734,s120.000000000000000000
008_6,s47.411828995684103916,s-46.486695731178073743,s-90.000000000000000000
008_7,s60.284110887523709721,s17.313105591801168259,s150.000000000000000000
009_0,s-16.625027222592464682,s-3.534936684366434712,s-90.000000000000000000
009_1,s-15.325027222591463882,s-3.659936684366434712,s90.000000000000000000
009_2,s-16.213757704579244034,s-2.773698590442584155,s249.884959003705006353
009_3,s-15.808378370145527825,s-2.538272177106093430,s293.629377819174010256
009_4,s-15.328401789218936813,s-2.950569042025514399,s336.370624451497008067
009_5,s-16.662695485092992698,s-2.578395146509284253,s296.805931834568013983
009_6,s5.039948769428992392,s-77.016216725798756215,s135.000000000000000000
009_7,s-44.975939280060899250,s76.781902150748010172,s0.000000000000000000
009_8,s45.125939280060890724,s-2.189300744206995830,s90.000000000000000000
010_0,s-18.376766680240969265,s4.553707475862797338,s-90.000000000000000000
010_1,s-17.076766680239966689,s4.428707475862797338,s90.000000000000000000
010_2,s-17.008107727095946871,s5.189646891643537430,s336.262544504085838071
010_3,s-17.822823629635077936,s5.287435015960822327,s246.345875516688323614
010_4,s-17.893979749106421195,s5.623470248294003326,s66.345808834164955670
010_5,s-18.271500350992162964,s5.131636527989495988,s21.400701901157397344
010_6,s-69.165132182889095702,s-92.525728500675839427,s-45.000000000000000000
010_7,s-71.502449493366896149,s-59.290855889968355541,s-45.000000000000000000
010_8,s71.502449493366896149,s64.567615065384543982,s135.000000000000000000
010_9,s-8.456763064006242558,s91.973215874091138744,s0.000000000000000000
011_0,s-27.725334583188917748,s10.594610626113816210,s-90.000000000000000000
