id,x,y,deg
001_0,s-36.33711418974511,s17.72351012531544,s45.0
002_0,s0.354635418797758,s0.795710882346675,s203.62937773055205
002_1,s0.046441279555199,s0.272792367735944,s23.62937773055205
003_0,s-0.2961705278065425,s-0.1480921038168114,s155.13405193710082
003_1,s0.2961705278065425,s-0.05255116976643351,s66.370622269343
003_2,s0.1809111430772845,s-0.5474488302335666,s111.125132292893
004_0,s-0.3153543546458908,s-0.7321099817317163,s336.37062097548323
004_1,s-0.3247477710701901,s0.1321099817317162,s156.37062097548323
004_2,s0.3153543668629379,s0.1321099805644792,s156.37062001115214
004_3,s0.3247477710701901,s-0.7321099815172724,s336.3706200111533
005_0,s0.4606191347918665,s-0.6762986146413006,s112.57354076900067
005_1,s0.0644378320493835,s-0.45922158328874746,s66.35880454137896
005_2,s0.3328489642732315,s0.18619139038947247,s203.61755707631553
005_3,s-0.4606191347918665,s0.12355316028008245,s293.6293777306292
005_4,s-0.4489506073905015,s-0.7861913903894724,s23.62937773245634
006_0,s-0.1113682274731007,s-0.3794372486995231,s338.87232533578344
006_1,s-0.5043367608615038,s0.1000314001778245,s293.62937716062
006_2,s-0.3969745676522682,s-0.7485448924668263,s23.629377948507113
006_3,s0.5043360510523167,s0.2070970040726241,s158.8723258582056
006_4,s0.5043367608615038,s-0.6821523493276096,s338.8720069075373
006_5,s-0.0373509032543634,s-0.8070970040726241,s246.37062228185167
007_0,s-0.1253010184201387,s-0.4831214514562025,s213.5214523521986
007_1,s0.6234315509275232,s0.1874313219655216,s65.19637495686266
007_2,s-0.4633439587635146,s-0.428037090840862,s27.81665522442671
007_3,s-0.6234315509275232,s-0.8156632750232716,s252.8299341513737
007_4,s-0.367707322557938,s0.3111519282337293,s207.8166574923498
007_5,s0.5157899790853918,s-0.9111519282337294,s336.37062146491644
007_6,s0.4055210610267244,s-0.3705787019441917,s37.546461238436166
008_0,s-0.5573082293897665,s-0.9268417808033381,s23.629261484263278
008_1,s-0.20658285698476417,s-0.855266109095866,s293.6296318050679
008_2,s0.5573122901598458,s0.32684178080333814,s203.62930399323483
008_3,s-0.24956252153368588,s-0.4110889060681199,s51.76684181718082
008_4,s0.20659398812551363,s0.2552699542213434,s113.62924507720201
008_5,s0.6646727406965542,s-0.8573081259752939,s113.62977128222923
008_6,s0.2495607276287002,s-0.18891179334723926,s231.7674876419655
008_7,s-0.664672740696554,s0.25730553804615613,s293.62950347940847
009_0,s-0.218209066743695,s0.13134853469558158,s249.8849592913043
009_1,s-0.561740307893572,s-0.08585002526744571,s204.79369348033333
009_2,s0.18717026642909,s0.36677494970193597,s293.6293781067727
009_3,s0.3911198845599937,s-0.8591954116063162,s113.62937803516013
009_4,s0.1022513691243905,s-0.3291792757248711,s154.94476135560922
009_5,s-0.5468039050078564,s-0.9667749497019361,s24.572435341527978
009_6,s-0.6671468482377856,s0.326651976375408,s296.8059321221667
009_7,s0.6430165380516437,s-0.4579615931622124,s205.529877591277
009_8,s0.6671468482377857,s-0.04552191264306781,s336.37062489379673
010_0,s-0.1657139881091506,s0.06703798983323431,s246.34587549077744
010_1,s0.2325153928318496,s-0.5314103372927256,s292.60828454699504
010_2,s0.1880120476395455,s0.3954689821616555,s290.15057294517237
010_3,s-0.236870107294825,s0.4030732218324071,s66.34580874797268
010_4,s-0.6490019152440425,s-0.9874918162838093,s23.629362860404967
010_5,s-0.6143914987348102,s-0.0887602976257301,s21.400702015673232
010_6,s0.6451563238138347,s-1.0030732218324072,s338.6059428876513
010_7,s-0.2024798449816715,s-0.5354991586782284,s70.4216222116446
010_8,s0.6490019152440425,s-0.03075013391931379,s336.26254471002085
010_9,s0.1535948564312727,s-0.8714985833283234,s115.5589715120118
011_0,s0.957663763130987,s1.369638914646354,s66.37150675936573
011_1,s0.4034139207850205,s-0.12734344657303037,s23.709520331219384
011_2,s1.3816602594442497,s1.3649787367914858,s293.9883498358375
011_3,s0.46795596943521495,s0.989661751661014,s28.863157518442037
011_4,s1.7737547333456867,s0.8856650730498008,s339.06246764311663
011_5,s1.0345341290302073,s0.5368229045700188,s159.17877679166259
011_6,s1.3642178018198998,s0.023912865650990565,s117.10806125986909
011_7,s1.4209775897914434,s0.3601172395086089,s300.1641963399671
011_8,s0.892022265092052,s0.952737943839604,s264.1645429095943
011_9,s1.7801324772494755,s-0.12720494646034328,s341.81132705916434
011_10,s0.42052135428469406,s0.7283766360728006,s203.70966579153534
012_0,s0.7321085370317404,s-0.07080195017663661,s340.3457200715537
012_1,s0.3428410425305179,s0.4059113640553748,s296.0260279939354
012_2,s0.0313349477640625,s-1.0435490772522211,s296.07491643070296
012_3,s-0.2142411939744845,s-0.9967250594504965,s116.0748376440639
012_4,s-0.7186668656190836,s-0.6312253068882301,s155.2843939375988
012_5,s-0.1099366116494814,s0.5434266673119459,s161.1230075354457
012_6,s0.2828678046881389,s0.07025776440568139,s116.93835991573987
012_7,s0.7410627074926581,s-1.1446481246432008,s336.37062358343303
012_8,s0.668595633669809,s-0.39724698696997923,s114.48727997122387
012_9,s-0.7410627074926581,s-0.3271315339120911,s333.08793118477786
012_10,s-0.3376100159402075,s-0.5827224764426613,s296.9371825591585
012_11,s-0.6910604511812622,s0.5446481246432007,s153.08793161910887
013_0,s-0.8868504646006241,s-0.9860606841416854,s293.6296483879862
013_1,s0.8864040113439733,s-0.1241437211870629,s108.78060668321802
013_2,s0.33304735444249567,s-1.0764426257662223,s246.3706250923831
013_3,s-0.02710387989853322,s-0.737875213255027,s295.74907230901954
013_4,s0.8868504646006239,s0.4381827290092807,s114.66477944498638
013_5,s-0.07025582634489452,s-0.1470430979664291,s286.14075051679106
013_6,s-0.10016201912537032,s-1.0764392227091069,s113.62964607585519
013_7,s0.056895217553890376,s0.4691014165135116,s294.6647784220113
