id,x,y,deg
001_0,s0.029374859703912960,s0.006163191317132026,s-134.9999999444052036778884939849376678466796875
002_0,s0.301593095094558848,s0.488849692257233920,s203.629598276484330199309624731540679931640625
002_1,s-0.006594566617758071,s-0.034075362909449168,s23.629380687870341404277496621944010257720947265625
003_0,s0.407502894798335552,s0.859183676714764928,s156.376043596494497478488483466207981109619140625
003_1,s1.100420232116610176,s0.193343457311565280,s100.1482065633624785050415084697306156158447265625
003_2,s1.096063484210086272,s0.778700987951874944,s122.92497623650166360675939358770847320556640625
004_0,s0.13180281438617172,s-0.2873234485946208,s335.000550027979
004_1,s-0.3839726828049309,s0.7542634252315114,s143.33712876119688
004_2,s0.6463740794191035,s0.35597293724916484,s154.98552034982092
004_3,s0.0016798683570492584,s-0.27051180924406004,s359.10269138943335
005_0,s0.8119558771497478,s0.06980521806128683,s144.78869324167573
005_1,s0.46651075683396787,s0.5722377471417792,s80.52743312440158
005_2,s0.5042785421497207,s0.8770385248383054,s194.52671582395007
005_3,s-0.01831900673004307,s-0.4049468496425652,s259.42301487324727
005_4,s-0.02587305043228163,s-0.037295139290601284,s18.520509102653754
006_0,s0.16187557530421046,s0.3350987979729509,s340.79390600340156
006_1,s-0.16267814173353906,s-0.013985160186563927,s291.59110656980675
006_2,s-0.201053201225406,s-0.17730132664363835,s18.519584554044865
006_3,s0.7600533593392091,s0.7676590758510587,s156.72511406485037
006_4,s-0.7610556454889942,s0.11956416417010216,s340.75941086877225
006_5,s0.4281260624405108,s-0.6146887048070973,s304.0785467517087
007_0,s1.0187692718186054,s0.8751465259176576,s61.00928433153166
007_1,s0.5224812472165471,s0.25134477157619545,s232.90359171891797
007_2,s-0.04182127200240174,s0.22832088352730015,s35.370884160702516
007_3,s0.9909713891821409,s0.30229515386566164,s38.24359372777827
007_4,s0.2703904243944502,s1.0599685053269374,s215.36880694303187
007_5,s0.5653174206821917,s-0.5554712681222991,s341.60338684456207
007_6,s-0.35960547039988017,s-0.2622244982656794,s242.9347989638838
008_0,s1.1215178521353737,s0.9858247519210782,s115.17256872823282
008_1,s0.929530313352178,s-0.5164779365272418,s131.21963627667432
008_2,s0.38819644331561315,s-0.5641022736958206,s308.77443650043466
008_3,s-0.05020381593765037,s0.14338803720667942,s245.83393665427664
008_4,s0.1817774726539501,s1.131285591041898,s149.93102837771855
008_5,s0.3924457809754541,s0.24036596020401146,s44.582548054726686
008_6,s-0.45747614139071474,s-0.5109613760271839,s22.479430413215624
008_7,s0.9856955788717958,s0.47154628738135346,s206.52658148833038
009_0,s0.5884834389541919,s1.0188389122175954,s251.34560746414502
009_1,s0.1283667413830734,s0.5821052047808237,s208.63958883094776
009_2,s0.5332572810601144,s-1.0288514723204334,s246.61748581219814
009_3,s1.0490726043914202,s-0.17986677209407181,s114.13012614791893
009_4,s0.7596904867147417,s0.34787117756128144,s160.42852502706785
009_5,s0.08894252516299825,s-0.38578296990557587,s28.676435576708762
009_6,s-0.044198976997440714,s-0.7553271784008234,s267.2506228146157
009_7,s-0.5439478898053223,s0.20484233377939165,s156.04341161679324
009_8,s-0.7909293846311751,s0.0859130798115703,s381.79041588505436
010_0,s0.0973937804849765,s1.029684201262986,s257.5643907567038
010_1,s0.4179357687458521,s0.19655509805425592,s279.83655127761
010_2,s0.47325740786384307,s-0.7740814224563096,s265.48448511618847
010_3,s0.02463044983167826,s-1.064841281746246,s113.67241318368353
010_4,s-0.6495825782908687,s-0.21237302922283807,s15.462004166071193
010_5,s-0.7033358261614935,s0.6129515039372763,s14.701860508410935
010_6,s1.057713216525557,s-0.45878068189393195,s340.0912963322004
010_7,s-0.41506904404162254,s0.3344542772670989,s73.52840638789607
010_8,s0.6994864965497795,s0.41559876327802187,s329.1293455322282
010_9,s0.20784133860487014,s-0.1785195590005559,s112.8363749125458
011_0,s0.8892644433377314,s0.8376777662801944,s92.09221505244032
011_1,s-0.13890036601181194,s-1.1937511235194946,s22.964699245129452
011_2,s0.4328972509083412,s1.1817639386390542,s288.0578270948819
011_3,s0.026551749213073298,s0.32249242748575,s35.18357959638038
011_4,s-0.6123516040419111,s0.4482631044132723,s371.0688695286308
011_5,s0.9504375048660915,s-0.15639897004257217,s146.7148439796324
011_6,s1.3278490085779742,s-0.6130227541694533,s120.79420869787008
011_7,s0.48757591864893235,s-0.24278537108827547,s305.64578249593325
011_8,s0.7375115177062822,s0.3348071046145581,s271.01047875114665
011_9,s-0.732228399942447,s-0.8992387375258171,s380.7545211702082
011_10,s-0.10079730133457213,s0.028048241836304947,s205.35165865401538
012_0,s0.9033701355219996,s0.6285500264866144,s388.8058450315232
012_1,s0.8453693170997132,s0.14765773151850137,s285.84272019620937
012_2,s-0.4123562821166429,s-0.3801608388988972,s163.80961629040638
012_3,s0.14622858583419998,s1.4132774719134682,s139.9307708249355
012_4,s0.9730135421417424,s1.3784576764850858,s137.502375653081
012_5,s0.9173790509194518,s-0.905496722872759,s366.02377235041627
012_6,s1.4127895265441361,s0.040618201198898314,s121.83844238143546
012_7,s-0.10665712512057234,s-0.04825046481563738,s343.54353164636524
012_8,s0.31455851914332345,s-0.26554567991678996,s279.1996908208565
012_9,s-0.49986919607763947,s1.344631973596638,s171.76735126800628
012_10,s0.7690013855787252,s-1.284027750928016,s283.10647838019156
012_11,s0.18915139424905703,s-1.0239068254627053,s102.24478091809601
013_0,s0.12910948252499,s-0.7349737239326625,s113.7732405151085
013_1,s0.17910908180657206,s0.48379109255867014,s101.73375498260467
013_2,s1.0721232515632984,s-1.1445742569261808,s224.72560445293513
013_3,s-0.10046125596754713,s-0.1590451218697009,s281.36785925453927
013_4,s-0.852768819989947,s0.29651712526653545,s262.30299274486396
013_5,s1.502323896694436,s1.4124624082528912,s120.74920566065839
013_6,s0.9174755288590218,s0.25009444771743594,s281.6307608439446
013_7,s1.218042527905533,s-0.09274255310522891,s180.04869052172313
013_8,s0.9722796409579322,s-0.8746289359141025,s293.42619025711286
013_9,s-0.5210004274951243,s0.9795382083700412,s170.63687203943013
013_10,s0.7971125948840773,s0.9301543300090608,s283.1839966789845
013_11,s1.4967515538542913,s0.848639753336071,s113.06585938318673
013_12,s-0.01218396659514869,s1.0182351458960885,s329.7058638227881
014_0,s0.056426229278433160,s0.071771992607572248,s308.48889887447620594684849493205547332763671875
014_1,s0.268469941821681536,s1.094368254357545088,s293.8298052829228481641621328890323638916015625
014_2,s-0.225702507072160384,s0.389459599269470976,s132.275193211795084380355547182261943817138671875
014_3,s1.356853122326084864,s-0.863475686981436672,s22.4527956016479635081850574351847171783447265625
014_4,s0.749568101207818752,s-0.766125024121547776,s338.33533452021305265589035116136074066162109375
014_5,s-0.306029903219219456,s-0.212458741573471456,s255.68214964498844210538663901388645172119140625
014_6,s0.663997346563760768,s0.823704648275530112,s215.512364001247561873242375440895557403564453125
014_7,s1.308217293026558976,s1.205805001552190208,s207.72286412934181498712860047817230224609375
014_8,s1.328410703336756224,s0.567972110230732480,s169.47883560356359566867467947304248809814453125
014_9,s0.786037435161083904,s0.137625920854035792,s158.2524802625877100581419654190540313720703125
014_10,s-0.495812922089837952,s1.189455779057865472,s156.30319889992273374446085654199123382568359375
014_11,s0.397842865641404992,s-0.740701737316256384,s75.725386014579299853721749968826770782470703125
014_12,s-0.464611605585492736,s-0.867379781521022976,s25.796120309793284519628286943770945072174072265625
014_13,s0.015594030325525006,s0.616969877972143616,s373.82820141241836608969606459140777587890625
015_0,s1.6534218269603589,s1.7735836133930885,s200.40857010755943
015_1,s-0.18341068783328174,s0.8698092748284088,s256.69993073452565
015_2,s0.6984833938791779,s0.9192364470726959,s113.8938319007043
015_3,s0.42407757908976196,s0.2925840054164708,s195.68748797862276
015_4,s-0.9302635616639007,s0.7540942157012971,s22.372889473492698
015_5,s0.20283323271803574,s-0.4486009232743413,s232.06447316544194
015_6,s1.130077946531628,s0.3432978366900981,s293.94405323306466
015_7,s-0.7070117298093969,s1.7641190446880513,s197.28632531971357
015_8,s0.6114379982354191,s1.4662097177547186,s305.56202979438035
015_9,s-0.5268193310587304,s-0.4400899114907493,s6.747200517067863
015_10,s1.1528798224834604,s-0.4415190967933275,s252.52387171597323
015_11,s-0.20667761004630528,s0.2831519341809893,s75.60108140176442
015_12,s1.3201847591666498,s1.0224251126635302,s20.39082632920113
015_13,s1.6530825462318148,s-0.24825480605030678,s342.78303615514807
015_14,s-0.006321994871543429,s1.7235260634618752,s147.83895568036013
016_0,s-4.527382034785855,s0.8046939575505878,s293.4745323875582
016_1,s-4.434693769725966,s0.16846451050596825,s327.61630821415775
016_2,s-3.3037714057671685,s2.2085008994704065,s172.26378412509985
016_3,s-4.240611391993517,s1.9632707463609624,s141.01120747318944
016_4,s-3.0869034353867386,s-0.09924044234008154,s3.1208286512234564
016_5,s-3.7447766028484284,s2.431634418044582,s62.08847622525687
016_6,s-3.094778932765108,s1.301601591584716,s52.170243879649796
016_7,s-2.9415957535221695,s1.9868916397816914,s288.10055078409414
016_8,s-2.4048416450180707,s1.6487501397927704,s330.641276694434
016_9,s-3.799789465581891,s1.4182894429457973,s158.45704468772274
016_10,s-3.7554531637796122,s0.36464944510473907,s338.501444083693
016_11,s-2.6529161217097905,s1.1215038860739563,s187.76220470530518
016_12,s-3.128485366555957,s0.6619731989557613,s265.98950718318065
016_13,s-3.9521757725528452,s-0.20144643969724968,s104.57297605514003
