id,x,y,deg
001_0,s-36.337114189745108206,s17.723510125315439012,s45.000000000000000000
002_0,s0.354635418797758006,s0.795710882346674975,s203.629377730552050707
002_1,s0.046441279555199000,s0.272792367735944008,s23.629377730552050707
003_0,s-0.29617052780654251620,s-0.14809209171477985545,s155.13405193710082130565
003_1,s0.29617052780654251620,s-0.05255115766440195818,s66.37062226934300213088
003_2,s0.18577064810468341127,s-0.54744884233559809594,s111.12513229289299943048
004_0,s-0.31535435425848312718,s-0.73210998161197493594,s336.37062096680983813712
004_1,s-0.32474777081912087340,s0.13210998157508138662,s156.37062096680983813712
004_2,s0.31535436744815070753,s0.13210998161197490264,s156.37062000247874493652
004_3,s0.32474777081912087340,s-0.73210998072761579447,s336.37062000247988180490
005_0,s0.46061914110904877973,s-0.64497949905278029181,s112.57354070318979211152
005_1,s0.06443783857798750236,s-0.42790246753434479920,s66.35880453957662439279
005_2,s0.26862724346561411837,s0.14748719765606790877,s210.44979884571591810527
005_3,s-0.46061914110904877973,s0.15487227495840150127,s293.62937772882673925778
005_4,s-0.44895060055274060851,s-0.75487227495840159008,s23.62937773065397095706
006_0,s-0.11136822167168269893,s-0.37943724859795407989,s338.87232536504484414763
006_1,s-0.50433675859229909477,s0.10003139886903250622,s293.62937762568049038236
006_2,s-0.39697456882739318162,s-0.74854489062652884712,s23.62937794059155294235
006_3,s0.50433604983198976335,s0.20709700322447460730,s158.87232562321287332452
006_4,s0.50433675859229909477,s-0.68215234807083691138,s338.87200692390410949884
006_5,s-0.03735090527170060321,s-0.80709700322447464060,s246.37062227393607827253
007_0,s-0.12530084931171808771,s-0.48312146475906031506,s213.52145653605771258299
007_1,s0.62343143647560772536,s0.18743128848875931225,s65.19637452718393433315
007_2,s-0.46334374802153999173,s-0.42803714248626928418,s27.81665594718316469880
007_3,s-0.62343143647560772536,s-0.81566320028839511824,s252.82974950397306201921
007_4,s-0.36770717874776931433,s0.31115190983856350071,s207.81665625921618811844
007_5,s0.51579015205559342050,s-0.91115190983856364504,s336.37062221149585639068
007_6,s0.40552117239135310189,s-0.37057870582777008295,s37.54672733189698874412
008_0,s-0.55730529553173135948,s-0.92683677233281880348,s23.62936987294148138972
008_1,s-0.20658875551980721008,s-0.85526212345488206168,s293.62937535458490856399
008_2,s0.55730538487074154919,s0.32683677233281871466,s203.62937713354585866909
008_3,s-0.24956212021213999841,s-0.41109155910948347312,s51.76675295478622729206
008_4,s0.20658882890705149160,s0.25526204217525699791,s113.62937689179193512246
008_5,s0.66466759056461344191,s-0.85730549463390504084,s113.62937715435543850617
008_6,s0.24956220389145439276,s-0.18890841449027789833,s231.76673040501532341295
008_7,s-0.66466759056461344191,s0.25730530930394107658,s293.62937749592651925923
009_0,s0.019766225912313799,s1.275962462617774129,s297.480174038479390219
009_1,s0.525657511659510912,s0.417087469600298022,s-142.030816127696624562
009_2,s0.933351900922853805,s1.313955495520602978,s-65.550709103136966860
009_3,s1.258719923497230164,s-0.002242090900290756,s-30.550022298287608180
009_4,s0.219696368694612648,s0.478219792060391558,s30.938864604727395857
009_5,s0.021011534422388737,s0.107103712260847583,s-113.613355304781990185
009_6,s1.094248101277747187,s0.430264341240726211,s18.733598838634797801
009_7,s0.518550885358099567,s0.873027492861785825,s-15.269763254037373557
009_8,s1.345756807671282695,s0.834275352141153337,s-23.627132316317112526
010_0,s-0.16571400536967678674,s0.06703798463841449673,s246.34587550090236618416
010_1,s0.23251536287560620186,s-0.53141034087898730842,s292.60828356365504987480
010_2,s0.18801202967772909225,s0.39546897814467657506,s290.15057291893572255503
010_3,s-0.23687012345703270522,s0.40307321954850688916,s66.34580872790240846371
010_4,s-0.64900189711121170077,s-0.98749174664241878840,s23.62936348892276328115
010_5,s-0.61439101564878595418,s-0.08875999944282600418,s21.40070299301379463941
010_6,s0.64515630338693008561,s-1.00307321954850703349,s338.60594297211082448484
010_7,s-0.20247984884968539543,s-0.53549895499547417455,s70.42159859212608807866
010_8,s0.64900189711121170077,s-0.03075013973555699998,s336.26254315509982006915
010_9,s0.15359481107989220172,s-0.87149858390824264109,s115.55897127156720216590
011_0,s0.95766376313098700024,s1.36963891464635389994,s66.37050675936575316882
011_1,s0.40341392078502047447,s-0.12734344657303037218,s23.70952033121938384852
011_2,s1.38166025944424974981,s1.36497873679148584714,s293.98834983583748226010
011_3,s0.46795596943521494682,s0.98966175166101399974,s28.86315751844203347787
011_4,s1.77375473334568667383,s0.88566507304980079951,s339.06246764311663355329
011_5,s1.03453412903020725011,s0.53682290457001879957,s159.17877679166258531041
011_6,s1.36421780181989982239,s0.02391286565099056544,s117.10806125986908909908
011_7,s1.42097758979144339619,s0.36011723950860891064,s300.16419633996707716506
011_8,s0.89202226509205195804,s0.95273794383960397347,s264.16454290959427453345
011_9,s1.78013247724947554218,s-0.12720494646034327668,s341.81132705916434133542
011_10,s0.42052135428469405998,s0.72837663607280056510,s203.70966579153531483826
012_0,s0.73210862126645170900,s-0.07080198865325260105,s340.34571999987770141161
012_1,s0.28286779266001227384,s0.07025765318055139652,s116.93835782366090825235
012_2,s-0.71866685145636877152,s-0.63122530789673958473,s155.28439339319425016583
012_3,s-0.69106043771531577846,s0.54464811288144487911,s153.08793159436663700035
012_4,s-0.21424118274658920935,s-0.99672503695456360351,s116.07483761932166999031
012_5,s-0.10993664789198591414,s0.54342670213668742285,s161.12300680420025855710
012_6,s-0.33761003391130450790,s-0.58272250593200602964,s296.93718387005060321826
012_7,s0.03133495927498258782,s-1.04354905524389240945,s296.07491919288963799772
012_8,s-0.74106269793612833396,s-0.32713154702613267411,s333.08793161164180673950
012_9,s0.74106269793612822294,s-1.14464811288144496793,s336.37062278707639961794
012_10,s0.66859564212811706252,s-0.39724706105174478754,s114.48727980244154878164
012_11,s0.34284047726221361652,s0.40591107500216111470,s296.02603243117619058467
013_0,s-0.22130501213653461234,s-0.35788640291916667957,s109.19218258647993025079
013_1,s-0.07025576492571990184,s-0.14704315069897400114,s286.14074995562373260327
013_2,s0.77087596148142834007,s-0.62172330598964886672,s199.93614531905882358842
013_3,s-0.88655429134380869804,s0.47644261065267917710,s291.11279378241465565225
013_4,s-0.41449154658234688142,s0.06693726393149590503,s336.92775721198609062412
013_5,s-0.88685047267140015848,s-0.98606068588596340607,s293.62964846761246917595
013_6,s0.88640403003808265758,s-0.12414384656500980497,s108.78059516718326449336
013_7,s-0.75379410725983608810,s-0.00937238300071640065,s154.34585838507223343186
013_8,s-0.10016196765606499852,s-1.07643913080557229733,s113.62964984351805242113
013_9,s0.88685047267140015848,s0.43818268918772818044,s114.66477816731293160046
013_10,s0.05689526425748289706,s0.46910140691393037438,s294.66477794084175911848
013_11,s0.33304738961358121285,s-1.07644261065267921040,s246.37062423248517006868
013_12,s-0.02710385864587069871,s-0.73787516813199849341,s295.74907229053678747732
014_0,s0.251756809913473878,s0.205145985450390839,s24.793615670774482140
014_1,s2.001113196281629758,s1.953038202612425778,s66.376794477580403964
014_2,s1.239773189143267951,s1.997387505459351287,s162.308649110001795179
014_3,s0.646833254771115862,s1.953129943345513153,s66.370689568587778240
014_4,s0.840321728576184479,s0.760705473180414704,s159.498747906055143631
