id,x,y,deg
001_0,s-36.337114189745108206,s17.723510125315439012,s45.000000000000000000
002_0,s0.354635418797758006,s0.795710882346674975,s203.629377730552050707
002_1,s0.046441279555199000,s0.272792367735944008,s23.629377730552050707
003_0,s-0.29617052780654251620,s-0.14809210381681139901,s155.13405193710082130565
003_1,s0.29617052780654251620,s-0.05255116976643350868,s66.37062226934300213088
003_2,s0.18091114307728450861,s-0.54744883023356660789,s111.12513229289299943048
004_0,s-0.31535435464589078869,s-0.73210998173171626391,s336.37062097548323436058
004_1,s-0.32474777107019009437,s0.13210998173171620285,s156.37062097548323436058
004_2,s0.31535436686293788489,s0.13210998056447920135,s156.37062001115214115998
004_3,s0.32474777107019009437,s-0.73210998151727235683,s336.37062001115327802836
005_0,s0.46061913479186650244,s-0.67629861464130058835,s112.57354076900067241240
005_1,s0.06443783204938349773,s-0.45922158328874745914,s66.35880454137895867461
005_2,s0.33284896427323151791,s0.18619139038947246645,s203.61755707631553491410
005_3,s-0.46061913479186650244,s0.12355316028008245244,s293.62937773062918722644
005_4,s-0.44895060739050152154,s-0.78619139038947238873,s23.62937773245634076602
006_0,s-0.11136822747310069770,s-0.37943724869952311085,s338.87232533578344373382
006_1,s-0.50433676086150380780,s0.10003140017782449767,s293.62937716061992432515
006_2,s-0.39697456765226818431,s-0.74854489246682631709,s23.62937794850711270556
006_3,s0.50433605105231671395,s0.20709700407262410238,s158.87232585820561325818
006_4,s0.50433676086150380780,s-0.68215234932760959730,s338.87200690753729759308
006_5,s-0.03735090325436340314,s-0.80709700407262408017,s246.37062228185163803573
007_0,s-0.12530101842013868785,s-0.48312145145620249975,s213.52145235219859387144
007_1,s0.62343155092752322588,s0.18743132196552159119,s65.19637495686265538097
007_2,s-0.46334395876351458510,s-0.42803709084086200010,s27.81665522442671090175
007_3,s-0.62343155092752322588,s-0.81566327502327162779,s252.82993415137366355339
007_4,s-0.36770732255793797671,s0.31115192823372928022,s207.81665749234980467008
007_5,s0.51578997908539181427,s-0.91115192823372936903,s336.37062146491643943591
007_6,s0.40552106102672441645,s-0.37057870194419167964,s37.54646123843616578597
008_0,s-0.55730513797242275942,s-0.92683633381229946213,s23.62874580311932959376
008_1,s-0.20658320721965450772,s-0.85526617112508529495,s293.62961582102411739470
008_2,s0.55731116176815886920,s0.32684082959410881708,s203.62939001030986219121
008_3,s-0.24955504399123315529,s-0.41108593624524120136,s51.76729252816653570335
008_4,s0.66467316097409578912,s-0.85731029778156209176,s113.62941470442046920653
008_5,s0.20659232940777730314,s0.25526882240431925108,s113.62955756492340242403
008_6,s0.24956197421305933992,s-0.18891101915547539591,s231.76727392465966204327
008_7,s-0.66466982661718088110,s0.25730668354473246184,s293.62948532351174435462
009_0,s0.018422371905140332,s1.277092540855755776,s-62.6198076229992324215345433913171291351318359375
009_1,s0.524475696439950528,s0.416441577825990848,s-141.95232063953875467632315121591091156005859375
009_2,s0.933883376609860096,s1.314631709739612672,s-65.6078307617598426304539316333830356597900390625
009_3,s1.261565671962294528,s-0.0004287714666883881875,s-29.95356028911452739293963531963527202606201171875
009_4,s0.218172890256997792,s0.480022503618162624,s30.826959304253076510349274030886590480804443359375
009_5,s0.019679557115387712,s0.107160123512057504,s-113.6047859969475126717952662147581577301025390625
009_6,s1.093116586989079424,s0.430245096799981440,s18.780163428188156871101455180905759334564208984375
009_7,s0.516908781148015936,s0.873592004556210048,s-15.3602177479600801035530821536667644977569580078125
009_8,s1.344220842845588480,s0.834105671527658496,s-23.63175570157724081354899681173264980316162109375
010_0,s-0.16571398810915061173,s0.06703798983323430716,s246.34587549077741641668
010_1,s0.23251539283184960438,s-0.53141033729272557640,s292.60828454699503708980
010_2,s0.18801204763954548760,s0.39546898216165549123,s290.15057294517237096443
010_3,s-0.23687010729482499416,s0.40307322183240712477,s66.34580874797268279508
010_4,s-0.64900191524404249321,s-0.98749181628380933162,s23.62936286040496725036
010_5,s-0.61439149873481024855,s-0.08876029762573009463,s21.40070201567323238123
010_6,s0.64515632381383469784,s-1.00307322183240721358,s338.60594288765128112573
010_7,s-0.20247984498167148626,s-0.53549915867822839299,s70.42162221164460333966
010_8,s0.64900191524404249321,s-0.03075013391931379070,s336.26254471002084756037
010_9,s0.15359485643127271381,s-0.87149858332832341734,s115.55897151201179440250
011_0,s0.957663763130987008,s1.369638914646353920,s66.3715067593657295219600200653076171875
011_1,s0.403367952100476800,s-0.127314751242285776,s23.708870795880375936803829972632229328155517578125
011_2,s1.381608999096095744,s1.365013932101542144,s293.97777956011435662730946205556392669677734375
011_3,s0.467946761056825536,s0.989663592417468160,s28.862662511344073124064379953779280185699462890625
011_4,s1.773706069398536192,s0.885739954828463104,s339.06132403626207860725116916000843048095703125
011_5,s1.034534129030207232,s0.536822904570018816,s159.17877679166258531040512025356292724609375
011_6,s1.364205334836546560,s0.023716352266788928,s117.0915866199742367825820110738277435302734375
011_7,s1.420968421085660672,s0.360127630537531648,s300.1685603837555618156329728662967681884765625
011_8,s0.892022265092051968,s0.952737943839603968,s264.1645429095942745334468781948089599609375
011_9,s1.779838191026162688,s-0.127166840719302432,s341.92049218502717167211812920868396759033203125
011_10,s0.420521354284694080,s0.728376636072800512,s203.70966579153531483825645409524440765380859375
012_0,s1.08449343292946998041,s0.31439193422920697074,s296.07491648880176171588
012_1,s0.71554846940514960085,s0.77521853466931212040,s296.93718256793567888963
012_2,s1.79422119233066124089,s0.21329288685626898725,s336.37062359221010865440
012_3,s0.33449161999247084553,s0.72671570419830755494,s155.28439394637601367322
012_4,s1.33602626305515581606,s1.42819873325443014167,s116.93835992451700178663
012_5,s1.39599901032195905515,s1.76385204804687223401,s296.02603544593165452170
012_6,s1.72175411830346170028,s0.96069402417017990548,s114.48727998000103411869
012_7,s0.83891729135051507082,s0.36121595196151429219,s116.07483765284102616988
012_8,s0.31209577808752136940,s1.03080947696451152851,s333.08793119355505041312
012_9,s0.36209803382831340368,s1.90258913542540919472,s153.08793162788600739077
012_10,s1.78526702157225569678,s1.28713906075157002995,s340.34572008033080692257
012_11,s0.94322187336875584762,s1.90136767769405379269,s161.12300754422273030286
013_0,s1.99416942371541217049,s1.30013326582995181191,s108.78060390454137973393
013_1,s0.35397126315199939350,s1.41490461569091863225,s154.34585821506658476210
013_2,s1.87864136750384402852,s0.80255366603547428905,s199.93614477188447153821
013_3,s0.22091489122707172466,s0.43821630102297320919,s293.62964834852584772307
013_4,s1.00760339971797385772,s0.34783785476777795420,s113.62965079190848882718
013_5,s0.69327382693522865420,s1.49121426656068689631,s336.92775725252437268864
013_6,s1.03750959376575102588,s1.27723388989507258273,s286.14075047733064138811
013_7,s0.22121107371841461364,s1.90071961854301374473,s291.11279340389859271454
013_8,s1.08066154947602988123,s0.68640182858329090720,s295.74907226955912165067
013_9,s1.44081277064375901098,s0.34783436935151995639,s246.37062505292269065649
013_10,s1.99461587735572143387,s1.86245971146759647930,s114.66477940552654501971
013_11,s1.16466063705815359164,s1.89337839929278684004,s294.66477791881430903231
013_12,s0.88646030651743668027,s1.06639053890030877092,s109.19218114734552216305
014_0,s1.54700783504969185955,s1.16786470132024788882,s157.35042447982573321497
