id,x,y,deg
001_0,s0,s0,s0
002_0,s0.0,s0.0,s0
002_1,s0.35,s0.8,s180
003_0,s0.0,s0.0,s0
003_1,s0.35,s0.8,s180
003_2,s1.2,s0.4,s0
004_0,s-0.6525,s0.0,s0
004_1,s-0.3025,s0.8,s180
004_2,s0.6525,s0.0,s0
004_3,s1.0025,s0.8,s180
005_0,s-0.6525,s0.0,s0
005_1,s-0.3025,s0.8,s180
005_2,s0.6525,s0.0,s0
005_3,s1.0025,s0.8,s180
005_4,s0.17500000000000004,s0.4,s0
006_0,s-0.5850000000000001,s-0.65,s0
006_1,s-0.2350000000000001,s0.15000000000000002,s180
006_2,s-0.5850000000000001,s0.65,s0
006_3,s-0.2350000000000001,s1.4500000000000002,s180
006_4,s0.5850000000000001,s0.65,s0
006_5,s0.935,s1.4500000000000002,s180
007_0,s-0.5850000000000001,s-0.65,s0
007_1,s-0.2350000000000001,s0.15000000000000002,s180
007_2,s-0.5850000000000001,s0.65,s0
007_3,s-0.2350000000000001,s1.4500000000000002,s180
007_4,s0.5850000000000001,s0.65,s0
007_5,s0.935,s1.4500000000000002,s180
007_6,s1.785,s0.4000000000000002,s0
008_0,s-0.6525,s-0.725,s0
008_1,s-0.3025,s0.07500000000000007,s180
008_2,s0.6525,s-0.725,s0
008_3,s1.0025,s0.07500000000000007,s180
008_4,s-0.6525,s0.725,s0
008_5,s-0.3025,s1.525,s180
008_6,s0.6525,s0.725,s0
008_7,s1.0025,s1.525,s180
009_0,s-0.6525,s-0.725,s0
009_1,s-0.3025,s0.07500000000000007,s180
009_2,s0.6525,s-0.725,s0
009_3,s1.0025,s0.07500000000000007,s180
009_4,s-0.6525,s0.725,s0
009_5,s-0.3025,s1.525,s180
009_6,s0.6525,s0.725,s0
009_7,s1.0025,s1.525,s180
009_8,s1.8525,s0.4,s0
010_0,s-1.1700000000000002,s-0.65,s0
010_1,s-0.8200000000000002,s0.15000000000000002,s180
010_2,s0.0,s-0.65,s0
010_3,s0.35,s0.15000000000000002,s180
010_4,s-1.1700000000000002,s0.65,s0
010_5,s-0.8200000000000002,s1.4500000000000002,s180
010_6,s0.0,s0.65,s0
010_7,s0.35,s1.4500000000000002,s180
010_8,s1.1700000000000002,s0.65,s0
010_9,s1.52,s1.4500000000000002,s180
011_0,s-1.1700000000000002,s-0.65,s0
011_1,s-0.8200000000000002,s0.15000000000000002,s180
011_2,s0.0,s-0.65,s0
011_3,s0.35,s0.15000000000000002,s180
011_4,s-1.1700000000000002,s0.65,s0
011_5,s-0.8200000000000002,s1.4500000000000002,s180
011_6,s0.0,s0.65,s0
011_7,s0.35,s1.4500000000000002,s180
011_8,s1.1700000000000002,s0.65,s0
011_9,s1.52,s1.4500000000000002,s180
011_10,s2.37,s0.4000000000000002,s0
012_0,s-1.4400000000000002,s-0.8,s0
012_1,s-1.0900000000000003,s0.0,s180
012_2,s0.0,s-0.8,s0
012_3,s0.35,s0.0,s180
012_4,s-1.4400000000000002,s0.8,s0
012_5,s-1.0900000000000003,s1.6,s180
012_6,s0.0,s0.8,s0
012_7,s0.35,s1.6,s180
013_0,s-1.4400000000000002,s-0.8,s0
013_1,s-1.0900000000000003,s0.0,s180
013_2,s0.0,s-0.8,s0
013_3,s0.35,s0.0,s180
013_4,s-1.4400000000000002,s0.8,s0
013_5,s-1.0900000000000003,s1.6,s180
013_6,s0.0,s0.8,s0
013_7,s0.35,s1.6,s180
013_8,s-0.5450000000000002,s0.4,s0
014_0,s-1.4400000000000002,s-1.6,s0
014_1,s-1.0900000000000003,s-0.8,s180
014_2,s0.0,s-1.6,s0
014_3,s0.35,s-0.8,s180
014_4,s-1.4400000000000002,s0.0,s0
014_5,s-1.0900000000000003,s0.8,s180
014_6,s0.0,s0.0,s0
014_7,s0.35,s0.8,s180
014_8,s-1.4400000000000002,s1.6,s0
014_9,s-1.0900000000000003,s2.4000000000000004,s180
014_10,s0.0,s1.6,s0
014_11,s0.35,s2.4000000000000004,s180
014_12,s1.4400000000000002,s1.6,s0
014_13,s1.79,s2.4000000000000004,s180
015_0,s-1.4400000000000002,s-1.6,s0
015_1,s-1.0900000000000003,s-0.8,s180
015_2,s0.0,s-1.6,s0
015_3,s0.35,s-0.8,s180
015_4,s-1.4400000000000002,s0.0,s0
015_5,s-1.0900000000000003,s0.8,s180
015_6,s0.0,s0.0,s0
015_7,s0.35,s0.8,s180
015_8,s-1.4400000000000002,s1.6,s0
015_9,s-1.0900000000000003,s2.4000000000000004,s180
015_10,s0.0,s1.6,s0
015_11,s0.35,s2.4000000000000004,s180
015_12,s1.4400000000000002,s1.6,s0
015_13,s1.79,s2.4000000000000004,s180
015_14,s2.64,s0.40000000000000024,s0
016_0,s-1.4400000000000002,s-1.6,s0
016_1,s-1.0900000000000003,s-0.8,s180
016_2,s0.0,s-1.6,s0
016_3,s0.35,s-0.8,s180
016_4,s-1.4400000000000002,s0.0,s0
016_5,s-1.0900000000000003,s0.8,s180
016_6,s0.0,s0.0,s0
016_7,s0.35,s0.8,s180
016_8,s-1.4400000000000002,s1.6,s0
016_9,s-1.0900000000000003,s2.4000000000000004,s180
016_10,s0.0,s1.6,s0
016_11,s0.35,s2.4000000000000004,s180
016_12,s1.4400000000000002,s1.6,s0
016_13,s1.79,s2.4000000000000004,s180
017_0,s-1.4400000000000002,s-1.6,s0
017_1,s-1.0900000000000003,s-0.8,s180
017_2,s0.0,s-1.6,s0
017_3,s0.35,s-0.8,s180
017_4,s-1.4400000000000002,s0.0,s0
017_5,s-1.0900000000000003,s0.8,s180
017_6,s0.0,s0.0,s0
017_7,s0.35,s0.8,s180
017_8,s-1.4400000000000002,s1.6,s0
017_9,s-1.0900000000000003,s2.4000000000000004,s180
017_10,s0.0,s1.6,s0
017_11,s0.35,s2.4000000000000004,s180
017_12,s1.4400000000000002,s1.6,s0
017_13,s1.79,s2.4000000000000004,s180
017_14,s2.64,s0.40000000000000024,s0
018_0,s-1.4400000000000002,s-1.6,s0
018_1,s-1.0900000000000003,s-0.8,s180
018_2,s0.0,s-1.6,s0
018_3,s0.35,s-0.8,s180
018_4,s-1.4400000000000002,s0.0,s0
018_5,s-1.0900000000000003,s0.8,s180
018_6,s0.0,s0.0,s0
018_7,s0.35,s0.8,s180
018_8,s-1.4400000000000002,s1.6,s0
018_9,s-1.0900000000000003,s2.4000000000000004,s180
018_10,s0.0,s1.6,s0
018_11,s0.35,s2.4000000000000004,s180
018_12,s1.4400000000000002,s1.6,s0
018_13,s1.79,s2.4000000000000004,s180
019_0,s-1.4400000000000002,s-1.6,s0
019_1,s-1.0900000000000003,s-0.8,s180
019_2,s0.0,s-1.6,s0
019_3,s0.35,s-0.8,s180
019_4,s-1.4400000000000002,s0.0,s0
019_5,s-1.0900000000000003,s0.8,s180
019_6,s0.0,s0.0,s0
019_7,s0.35,s0.8,s180
019_8,s-1.4400000000000002,s1.6,s0
019_9,s-1.0900000000000003,s2.4000000000000004,s180
019_10,s0.0,s1.6,s0
019_11,s0.35,s2.4000000000000004,s180
019_12,s1.4400000000000002,s1.6,s0
019_13,s1.79,s2.4000000000000004,s180
019_14,s2.64,s0.40000000000000024,s0
020_0,s-1.5524999999999998,s-1.15,s0
020_1,s-1.2024999999999997,s-0.34999999999999987,s180
020_2,s-0.5175,s-1.15,s0
020_3,s-0.16749999999999998,s-0.34999999999999987,s180
020_4,s0.5175,s-1.15,s0
020_5,s0.8674999999999999,s-0.34999999999999987,s180
020_6,s1.5524999999999998,s-1.15,s0
020_7,s1.9024999999999999,s-0.34999999999999987,s180
020_8,s-1.5524999999999998,s0.0,s0
020_9,s-1.2024999999999997,s0.8,s180
020_10,s-0.5175,s0.0,s0
020_11,s-0.16749999999999998,s0.8,s180
020_12,s1.5524999999999998,s0.0,s0
020_13,s1.9024999999999999,s0.8,s180
020_14,s-1.5524999999999998,s1.15,s0
020_15,s-1.2024999999999997,s1.95,s180
020_16,s-0.5175,s1.15,s0
020_17,s-0.16749999999999998,s1.95,s180
020_18,s1.5524999999999998,s1.15,s0
020_19,s1.9024999999999999,s1.95,s180
021_0,s-1.5524999999999998,s-1.15,s0
021_1,s-1.2024999999999997,s-0.34999999999999987,s180
021_2,s-0.5175,s-1.15,s0
021_3,s-0.16749999999999998,s-0.34999999999999987,s180
021_4,s0.5175,s-1.15,s0
021_5,s0.8674999999999999,s-0.34999999999999987,s180
021_6,s1.5524999999999998,s-1.15,s0
021_7,s1.9024999999999999,s-0.34999999999999987,s180
021_8,s-1.5524999999999998,s0.0,s0
021_9,s-1.2024999999999997,s0.8,s180
021_10,s-0.5175,s0.0,s0
021_11,s-0.16749999999999998,s0.8,s180
021_12,s1.5524999999999998,s0.0,s0
021_13,s1.9024999999999999,s0.8,s180
021_14,s-1.5524999999999998,s1.15,s0
021_15,s-1.2024999999999997,s1.95,s180
021_16,s-0.5175,s1.15,s0
021_17,s-0.16749999999999998,s1.95,s180
021_18,s1.5524999999999998,s1.15,s0
021_19,s1.9024999999999999,s1.95,s180
021_20,s2.7525,s0.3999999999999999,s0
022_0,s-1.9575,s-1.45,s0
022_1,s-1.6075,s-0.6499999999999999,s180
022_2,s-0.6525,s-1.45,s0
022_3,s-0.3025,s-0.6499999999999999,s180
022_4,s0.6525,s-1.45,s0
022_5,s1.0025,s-0.6499999999999999,s180
022_6,s1.9575,s-1.45,s0
022_7,s2.3075,s-0.6499999999999999,s180
022_8,s-1.9575,s0.0,s0
022_9,s-1.6075,s0.8,s180
022_10,s-0.6525,s0.0,s0
022_11,s-0.3025,s0.8,s180
022_12,s0.6525,s0.0,s0
022_13,s1.0025,s0.8,s180
022_14,s1.9575,s0.0,s0
022_15,s2.3075,s0.8,s180
022_16,s-1.9575,s1.45,s0
022_17,s-1.6075,s2.25,s180
022_18,s-0.6525,s1.45,s0
022_19,s-0.3025,s2.25,s180
022_20,s0.6525,s1.45,s0
022_21,s1.0025,s2.25,s180
023_0,s-1.9575,s-1.45,s0
023_1,s-1.6075,s-0.6499999999999999,s180
023_2,s-0.6525,s-1.45,s0
