id,x,y,deg
001_0,s0,s0,s0
002_0,s0.0,s0.0,s0
002_1,s0.35,s0.8,s180
003_0,s0.0,s0.0,s0
003_1,s0.35,s0.8,s180
004_0,s-0.49500000000000005,s0.0,s0
004_1,s-0.14500000000000007,s0.8,s180
004_2,s1.07,s0.22500000000000006,s90
004_3,s0.27,s0.575,s270
005_0,s-0.49500000000000005,s0.0,s0
005_1,s-0.14500000000000007,s0.8,s180
005_2,s1.07,s0.22500000000000006,s90
005_3,s0.27,s0.575,s270
006_0,s-0.49500000000000005,s-0.55,s0
006_1,s-0.14500000000000007,s0.25,s180
006_2,s1.07,s-0.32499999999999996,s90
006_3,s0.27,s0.025,s270
006_4,s0.08,s0.775,s90
006_5,s-0.72,s1.125,s270
007_0,s-0.49500000000000005,s-0.55,s0
007_1,s-0.14500000000000007,s0.25,s180
007_2,s1.07,s-0.32499999999999996,s90
007_3,s0.27,s0.025,s270
007_4,s0.08,s0.775,s90
007_5,s-0.72,s1.125,s270
007_6,s0.6,s0.6,s0
008_0,s-0.49500000000000005,s-0.55,s0
008_1,s-0.14500000000000007,s0.25,s180
008_2,s1.07,s-0.32499999999999996,s90
008_3,s0.27,s0.025,s270
008_4,s0.08,s0.775,s90
008_5,s-0.72,s1.125,s270
008_6,s0.49500000000000005,s0.55,s0
008_7,s0.845,s1.35,s180
009_0,s-0.49500000000000005,s-0.55,s0
009_1,s-0.14500000000000007,s0.25,s180
009_2,s1.07,s-0.32499999999999996,s90
009_3,s0.27,s0.025,s270
009_4,s0.08,s0.775,s90
009_5,s-0.72,s1.125,s270
009_6,s0.49500000000000005,s0.55,s0
009_7,s0.845,s1.35,s180
010_0,s-0.9900000000000001,s-0.55,s0
010_1,s-0.6400000000000001,s0.25,s180
010_2,s0.575,s-0.325,s90
010_3,s-0.225,s0.025,s270
010_4,s0.9900000000000001,s-0.55,s0
010_5,s1.34,s0.25,s180
010_6,s-0.41500000000000015,s0.7749999999999999,s90
010_7,s-1.215,s1.1249999999999998,s270
010_8,s0.0,s0.55,s0
010_9,s0.35,s1.35,s180
011_0,s-0.9900000000000001,s-0.55,s0
011_1,s-0.6400000000000001,s0.25,s180
011_2,s0.575,s-0.325,s90
011_3,s-0.225,s0.025,s270
011_4,s0.9900000000000001,s-0.55,s0
011_5,s1.34,s0.25,s180
011_6,s-0.41500000000000015,s0.7749999999999999,s90
011_7,s-1.215,s1.1249999999999998,s270
011_8,s0.0,s0.55,s0
011_9,s0.35,s1.35,s180
012_0,s-0.9900000000000001,s-0.55,s0
012_1,s-0.6400000000000001,s0.25,s180
012_2,s0.575,s-0.325,s90
012_3,s-0.225,s0.025,s270
012_4,s0.9900000000000001,s-0.55,s0
012_5,s1.34,s0.25,s180
012_6,s-0.41500000000000015,s0.7749999999999999,s90
012_7,s-1.215,s1.1249999999999998,s270
012_8,s0.0,s0.55,s0
012_9,s0.35,s1.35,s180
012_10,s1.565,s0.7750000000000001,s90
012_11,s0.765,s1.125,s270
013_0,s-0.9900000000000001,s-0.55,s0
013_1,s-0.6400000000000001,s0.25,s180
013_2,s0.575,s-0.325,s90
013_3,s-0.225,s0.025,s270
013_4,s0.9900000000000001,s-0.55,s0
013_5,s1.34,s0.25,s180
013_6,s-0.41500000000000015,s0.7749999999999999,s90
013_7,s-1.215,s1.1249999999999998,s270
013_8,s0.0,s0.55,s0
013_9,s0.35,s1.35,s180
013_10,s1.565,s0.7750000000000001,s90
013_11,s0.765,s1.125,s270
014_0,s-0.9900000000000001,s-1.1,s0
014_1,s-0.6400000000000001,s-0.3,s180
014_2,s0.575,s-0.875,s90
014_3,s-0.225,s-0.525,s270
014_4,s0.9900000000000001,s-1.1,s0
014_5,s1.34,s-0.3,s180
014_6,s-0.41500000000000015,s0.22499999999999987,s90
014_7,s-1.215,s0.5749999999999998,s270
014_8,s0.0,s0.0,s0
014_9,s0.35,s0.8,s180
014_10,s1.565,s0.22500000000000012,s90
014_11,s0.765,s0.575,s270
014_12,s-0.9900000000000001,s1.1,s0
014_13,s-0.6400000000000001,s1.9,s180
015_0,s-0.9900000000000001,s-1.1,s0
015_1,s-0.6400000000000001,s-0.3,s180
015_2,s0.575,s-0.875,s90
015_3,s-0.225,s-0.525,s270
015_4,s0.9900000000000001,s-1.1,s0
015_5,s1.34,s-0.3,s180
015_6,s-0.41500000000000015,s0.22499999999999987,s90
015_7,s-1.215,s0.5749999999999998,s270
015_8,s0.0,s0.0,s0
015_9,s0.35,s0.8,s180
015_10,s1.565,s0.22500000000000012,s90
015_11,s0.765,s0.575,s270
015_12,s-0.9900000000000001,s1.1,s0
015_13,s-0.6400000000000001,s1.9,s180
016_0,s-0.9900000000000001,s-1.1,s0
016_1,s-0.6400000000000001,s-0.3,s180
016_2,s0.575,s-0.875,s90
016_3,s-0.225,s-0.525,s270
016_4,s0.9900000000000001,s-1.1,s0
016_5,s1.34,s-0.3,s180
016_6,s-0.41500000000000015,s0.22499999999999987,s90
016_7,s-1.215,s0.5749999999999998,s270
016_8,s0.0,s0.0,s0
016_9,s0.35,s0.8,s180
016_10,s1.565,s0.22500000000000012,s90
016_11,s0.765,s0.575,s270
016_12,s-0.9900000000000001,s1.1,s0
016_13,s-0.6400000000000001,s1.9,s180
016_14,s0.575,s1.325,s90
016_15,s-0.225,s1.675,s270
017_0,s-0.9900000000000001,s-1.1,s0
017_1,s-0.6400000000000001,s-0.3,s180
017_2,s0.575,s-0.875,s90
017_3,s-0.225,s-0.525,s270
017_4,s0.9900000000000001,s-1.1,s0
017_5,s1.34,s-0.3,s180
017_6,s-0.41500000000000015,s0.22499999999999987,s90
017_7,s-1.215,s0.5749999999999998,s270
017_8,s0.0,s0.0,s0
017_9,s0.35,s0.8,s180
017_10,s1.565,s0.22500000000000012,s90
017_11,s0.765,s0.575,s270
017_12,s-0.9900000000000001,s1.1,s0
017_13,s-0.6400000000000001,s1.9,s180
017_14,s0.575,s1.325,s90
017_15,s-0.225,s1.675,s270
018_0,s-0.9900000000000001,s-1.1,s0
018_1,s-0.6400000000000001,s-0.3,s180
018_2,s0.575,s-0.875,s90
018_3,s-0.225,s-0.525,s270
018_4,s0.9900000000000001,s-1.1,s0
018_5,s1.34,s-0.3,s180
018_6,s-0.41500000000000015,s0.22499999999999987,s90
018_7,s-1.215,s0.5749999999999998,s270
018_8,s0.0,s0.0,s0
018_9,s0.35,s0.8,s180
018_10,s1.565,s0.22500000000000012,s90
018_11,s0.765,s0.575,s270
018_12,s-0.9900000000000001,s1.1,s0
018_13,s-0.6400000000000001,s1.9,s180
018_14,s0.575,s1.325,s90
018_15,s-0.225,s1.675,s270
018_16,s0.9900000000000001,s1.1,s0
018_17,s1.34,s1.9,s180
019_0,s-0.9900000000000001,s-1.1,s0
019_1,s-0.6400000000000001,s-0.3,s180
019_2,s0.575,s-0.875,s90
019_3,s-0.225,s-0.525,s270
019_4,s0.9900000000000001,s-1.1,s0
019_5,s1.34,s-0.3,s180
019_6,s-0.41500000000000015,s0.22499999999999987,s90
019_7,s-1.215,s0.5749999999999998,s270
019_8,s0.0,s0.0,s0
019_9,s0.35,s0.8,s180
019_10,s1.565,s0.22500000000000012,s90
019_11,s0.765,s0.575,s270
019_12,s-0.9900000000000001,s1.1,s0
019_13,s-0.6400000000000001,s1.9,s180
019_14,s0.575,s1.325,s90
019_15,s-0.225,s1.675,s270
019_16,s0.9900000000000001,s1.1,s0
019_17,s1.34,s1.9,s180
020_0,s-1.485,s-1.1,s0
020_1,s-1.135,s-0.3,s180
020_2,s0.08,s-0.875,s90
020_3,s-0.72,s-0.525,s270
020_4,s0.49500000000000005,s-1.1,s0
020_5,s0.845,s-0.3,s180
020_6,s2.06,s-0.875,s90
020_7,s1.26,s-0.525,s270
020_8,s-0.91,s0.225,s90
020_9,s-1.71,s0.575,s270
020_10,s-0.49500000000000005,s0.0,s0
020_11,s-0.14500000000000007,s0.8,s180
020_12,s1.07,s0.22500000000000006,s90
020_13,s0.27,s0.575,s270
020_14,s1.485,s0.0,s0
020_15,s1.835,s0.8,s180
020_16,s-1.485,s1.1,s0
020_17,s-1.135,s1.9,s180
020_18,s0.08,s1.325,s90
020_19,s-0.72,s1.675,s270
021_0,s-1.485,s-1.1,s0
021_1,s-1.135,s-0.3,s180
021_2,s0.08,s-0.875,s90
021_3,s-0.72,s-0.525,s270
021_4,s0.49500000000000005,s-1.1,s0
021_5,s0.845,s-0.3,s180
021_6,s2.06,s-0.875,s90
021_7,s1.26,s-0.525,s270
021_8,s-0.91,s0.225,s90
021_9,s-1.71,s0.575,s270
021_10,s-0.49500000000000005,s0.0,s0
021_11,s-0.14500000000000007,s0.8,s180
021_12,s1.07,s0.22500000000000006,s90
021_13,s0.27,s0.575,s270
021_14,s1.485,s0.0,s0
021_15,s1.835,s0.8,s180
021_16,s-1.485,s1.1,s0
021_17,s-1.135,s1.9,s180
021_18,s0.08,s1.325,s90
021_19,s-0.72,s1.675,s270
022_0,s-1.485,s-1.1,s0
022_1,s-1.135,s-0.3,s180
022_2,s0.08,s-0.875,s90
022_3,s-0.72,s-0.525,s270
022_4,s0.49500000000000005,s-1.1,s0
022_5,s0.845,s-0.3,s180
022_6,s2.06,s-0.875,s90
022_7,s1.26,s-0.525,s270
022_8,s-0.91,s0.225,s90
022_9,s-1.71,s0.575,s270
022_10,s-0.49500000000000005,s0.0,s0
022_11,s-0.14500000000000007,s0.8,s180
022_12,s1.07,s0.22500000000000006,s90
022_13,s0.27,s0.575,s270
022_14,s1.485,s0.0,s0
022_15,s1.835,s0.8,s180
022_16,s-1.485,s1.1,s0
022_17,s-1.135,s1.9,s180
022_18,s0.08,s1.325,s90
022_19,s-0.72,s1.675,s270
022_20,s0.49500000000000005,s1.1,s0
022_21,s0.845,s1.9,s180
023_0,s-1.485,s-1.1,s0
023_1,s-1.135,s-0.3,s180
023_2,s0.08,s-0.875,s90
023_3,s-0.72,s-0.525,s270
023_4,s0.49500000000000005,s-1.1,s0
023_5,s0.845,s-0.3,s180
023_6,s2.06,s-0.875,s90
