id,x,y,deg
001_0,s0,s0,s0
002_0,s-0.25,s-0.25,s0
002_1,s0.1,s0.55,s180
003_0,s-0.25,s-0.25,s0
003_1,s0.1,s0.55,s180
003_2,s0,s0,s0
004_0,s-0.5606601717798214,s-0.5606601717798214,s0
004_1,s-0.2106601717798214,s0.2393398282201786,s180
004_2,s0.9143398282201787,s-0.3356601717798214,s90
004_3,s0.11433982822017866,s0.01433982822017856,s270
005_0,s-0.5606601717798214,s-0.5606601717798214,s0
005_1,s-0.2106601717798214,s0.2393398282201786,s180
005_2,s0.9143398282201787,s-0.3356601717798214,s90
005_3,s0.11433982822017866,s0.01433982822017856,s270
005_4,s0,s0,s0
006_0,s-0.799038105676658,s-0.799038105676658,s0
006_1,s-0.449038105676658,s0.000961894323342,s180
006_2,s0.6759618943233421,s-0.574038105676658,s90
006_3,s-0.12403810567665796,s-0.224038105676658,s270
006_4,s-0.22403810567665805,s0.32596189432334194,s90
006_5,s-1.024038105676658,s0.6759618943233421,s270
007_0,s-0.799038105676658,s-0.799038105676658,s0
007_1,s-0.449038105676658,s0.000961894323342,s180
007_2,s0.6759618943233421,s-0.574038105676658,s90
007_3,s-0.12403810567665796,s-0.224038105676658,s270
007_4,s-0.22403810567665805,s0.32596189432334194,s90
007_5,s-1.024038105676658,s0.6759618943233421,s270
007_6,s0,s0,s0
008_0,s-1.0,s-1.0,s0
008_1,s-0.65,s-0.2,s180
008_2,s0.475,s-0.775,s90
008_3,s-0.325,s-0.425,s270
008_4,s0.8,s-1.0,s0
008_5,s1.15,s-0.2,s180
008_6,s-0.425,s0.125,s90
008_7,s-1.225,s0.475,s270
009_0,s-1.0,s-1.0,s0
009_1,s-0.65,s-0.2,s180
009_2,s0.475,s-0.775,s90
009_3,s-0.325,s-0.425,s270
009_4,s0.8,s-1.0,s0
009_5,s1.15,s-0.2,s180
009_6,s-0.425,s0.125,s90
009_7,s-1.225,s0.475,s270
009_8,s0,s0,s0
010_0,s-1.1770509831248426,s-1.1770509831248426,s0
010_1,s-0.8270509831248424,s-0.37705098312484236,s180
010_2,s0.29794901687515774,s-0.9520509831248424,s90
010_3,s-0.5020509831248424,s-0.6020509831248424,s270
010_4,s0.6229490168751578,s-1.1770509831248426,s0
010_5,s0.9729490168751578,s-0.37705098312484236,s180
010_6,s-0.6020509831248424,s-0.05205098312484249,s90
010_7,s-1.4020509831248424,s0.2979490168751576,s270
010_8,s-0.27705098312484233,s-0.27705098312484233,s0
010_9,s0.07294901687515766,s0.5229490168751577,s180
011_0,s-1.1770509831248426,s-1.1770509831248426,s0
011_1,s-0.8270509831248424,s-0.37705098312484236,s180
011_2,s0.29794901687515774,s-0.9520509831248424,s90
011_3,s-0.5020509831248424,s-0.6020509831248424,s270
011_4,s0.6229490168751578,s-1.1770509831248426,s0
011_5,s0.9729490168751578,s-0.37705098312484236,s180
011_6,s-0.6020509831248424,s-0.05205098312484249,s90
011_7,s-1.4020509831248424,s0.2979490168751576,s270
011_8,s-0.27705098312484233,s-0.27705098312484233,s0
011_9,s0.07294901687515766,s0.5229490168751577,s180
011_10,s0,s0,s0
012_0,s-1.3371173070873832,s-1.3371173070873832,s0
012_1,s-0.9871173070873834,s-0.5371173070873835,s180
012_2,s0.13788269291261646,s-1.1121173070873833,s90
012_3,s-0.6621173070873835,s-0.7621173070873835,s270
012_4,s0.46288269291261663,s-1.3371173070873832,s0
012_5,s0.8128826929126166,s-0.5371173070873835,s180
012_6,s1.9378826929126165,s-1.1121173070873833,s90
012_7,s1.1378826929126167,s-0.7621173070873833,s270
012_8,s-0.7621173070873831,s-0.2121173070873834,s90
012_9,s-1.562117307087383,s0.13788269291261646,s270
012_10,s-0.43711730708738344,s-0.43711730708738344,s0
012_11,s-0.0871173070873834,s0.3628826929126166,s180
013_0,s-1.3371173070873832,s-1.3371173070873832,s0
013_1,s-0.9871173070873834,s-0.5371173070873835,s180
013_2,s0.13788269291261646,s-1.1121173070873833,s90
013_3,s-0.6621173070873835,s-0.7621173070873835,s270
013_4,s0.46288269291261663,s-1.3371173070873832,s0
013_5,s0.8128826929126166,s-0.5371173070873835,s180
013_6,s1.9378826929126165,s-1.1121173070873833,s90
013_7,s1.1378826929126167,s-0.7621173070873833,s270
013_8,s-0.7621173070873831,s-0.2121173070873834,s90
013_9,s-1.562117307087383,s0.13788269291261646,s270
013_10,s-0.43711730708738344,s-0.43711730708738344,s0
013_11,s-0.0871173070873834,s0.3628826929126166,s180
013_12,s0,s0,s0
014_0,s-1.484313483298443,s-1.484313483298443,s0
014_1,s-1.134313483298443,s-0.684313483298443,s180
014_2,s-0.009313483298443007,s-1.259313483298443,s90
014_3,s-0.809313483298443,s-0.909313483298443,s270
014_4,s0.315686516701557,s-1.484313483298443,s0
014_5,s0.665686516701557,s-0.684313483298443,s180
014_6,s1.790686516701557,s-1.259313483298443,s90
014_7,s0.9906865167015569,s-0.909313483298443,s270
014_8,s-0.909313483298443,s-0.359313483298443,s90
014_9,s-1.709313483298443,s-0.009313483298443007,s270
014_10,s-0.584313483298443,s-0.584313483298443,s0
014_11,s-0.234313483298443,s0.215686516701557,s180
014_12,s0.890686516701557,s-0.359313483298443,s90
014_13,s0.09068651670155699,s-0.009313483298443007,s270
015_0,s-1.484313483298443,s-1.484313483298443,s0
015_1,s-1.134313483298443,s-0.684313483298443,s180
015_2,s-0.009313483298443007,s-1.259313483298443,s90
015_3,s-0.809313483298443,s-0.909313483298443,s270
015_4,s0.315686516701557,s-1.484313483298443,s0
015_5,s0.665686516701557,s-0.684313483298443,s180
015_6,s1.790686516701557,s-1.259313483298443,s90
015_7,s0.9906865167015569,s-0.909313483298443,s270
015_8,s-0.909313483298443,s-0.359313483298443,s90
015_9,s-1.709313483298443,s-0.009313483298443007,s270
015_10,s-0.584313483298443,s-0.584313483298443,s0
015_11,s-0.234313483298443,s0.215686516701557,s180
015_12,s0.890686516701557,s-0.359313483298443,s90
015_13,s0.09068651670155699,s-0.009313483298443007,s270
015_14,s0,s0,s0
016_0,s-1.6213203435596428,s-1.6213203435596428,s0
016_1,s-1.271320343559643,s-0.8213203435596428,s180
016_2,s-0.14632034355964288,s-1.3963203435596425,s90
016_3,s-0.946320343559643,s-1.0463203435596429,s270
016_4,s0.17867965644035722,s-1.6213203435596428,s0
016_5,s0.5286796564403572,s-0.8213203435596428,s180
016_6,s1.6536796564403573,s-1.3963203435596425,s90
