id,x,y,deg
001_0,s0,s0,s0
002_0,s0.0,s0.0,s0
002_1,s0.35,s0.8,s180
003_0,s0.0,s0.0,s0
003_1,s0.35,s0.8,s180
003_2,s0,s0,s0
004_0,s0.0,s-0.475,s0
004_1,s0.35,s0.325,s180
004_2,s0.575,s0.7,s90
004_3,s-0.225,s1.05,s270
005_0,s0.0,s-0.475,s0
005_1,s0.35,s0.325,s180
005_2,s0.575,s0.7,s90
005_3,s-0.225,s1.05,s270
005_4,s0,s0,s0
006_0,s0.0,s-0.95,s0
006_1,s0.35,s-0.15,s180
006_2,s0.575,s0.225,s90
006_3,s-0.225,s0.575,s270
006_4,s0.0,s0.95,s0
006_5,s0.35,s1.75,s180
007_0,s0.0,s-0.95,s0
007_1,s0.35,s-0.15,s180
007_2,s0.575,s0.225,s90
007_3,s-0.225,s0.575,s270
007_4,s0.0,s0.95,s0
007_5,s0.35,s1.75,s180
007_6,s0,s0,s0
008_0,s0.0,s-1.4249999999999998,s0
008_1,s0.35,s-0.6249999999999998,s180
008_2,s0.575,s-0.25,s90
008_3,s-0.225,s0.1,s270
008_4,s0.0,s0.475,s0
008_5,s0.35,s1.275,s180
008_6,s0.575,s1.6499999999999997,s90
008_7,s-0.225,s1.9999999999999998,s270
009_0,s0.0,s-1.4249999999999998,s0
009_1,s0.35,s-0.6249999999999998,s180
009_2,s0.575,s-0.25,s90
009_3,s-0.225,s0.1,s270
009_4,s0.0,s0.475,s0
009_5,s0.35,s1.275,s180
009_6,s0.575,s1.6499999999999997,s90
009_7,s-0.225,s1.9999999999999998,s270
009_8,s0,s0,s0
010_0,s-0.425,s-0.95,s0
010_1,s-0.075,s-0.15,s180
010_2,s1.0,s-0.725,s90
010_3,s0.2,s-0.375,s270
010_4,s0.15,s0.225,s90
010_5,s-0.65,s0.575,s270
010_6,s0.425,s0.0,s0
010_7,s0.775,s0.8,s180
010_8,s-0.425,s0.95,s0
010_9,s-0.075,s1.75,s180
